city,service_slug,keyword,search_volume,competition,competition_index,cpc_eur,low_top_of_page_bid,high_top_of_page_bid,monthly_searches_avg_12m
basel,ai-search-optimization,KI Suchoptimierung Basel,,,,,,,
basel,ai-search-optimization,AI SEO Basel,,,,,,,
basel,ai-search-optimization,ChatGPT SEO Basel,,,,,,,
basel,technical-seo-audit,Technisches SEO Audit Basel,,,,,,,
basel,technical-seo-audit,SEO Audit Basel,10,,,,,,10.8
basel,technical-seo-audit,SEO Check Basel,,,,,,,
basel,local-seo-consulting,Lokale SEO Basel,,,,,,,
basel,local-seo-consulting,Local SEO Basel,,,,,,,
basel,local-seo-consulting,SEO Berater Basel,40,LOW,0,,,,48.3
basel,performance-ads-management,Performance Marketing Basel,,,,,,,
basel,performance-ads-management,Performance Ads Basel,,,,,,,
basel,google-ads-management,Google Ads Basel,10,LOW,26,,,,10.0
basel,google-ads-management,Google Ads Agentur Basel,50,LOW,2,,,,58.3
basel,google-ads-management,AdWords Basel,10,LOW,0,,,,5.0
basel,google-ads-audit,Google Ads Audit Basel,,,,,,,
basel,google-ads-audit,Google Ads Check Basel,,,,,,,
basel,paid-social-strategy,Paid Social Basel,,,,,,,
basel,paid-social-strategy,LinkedIn Ads Basel,10,LOW,25,,,,4.2
basel,paid-social-strategy,Meta Ads Basel,,,,,,,
basel,digital-pr-strategy,Digital PR Basel,,,,,,,
basel,digital-pr-strategy,PR Agentur Basel,30,HIGH,73,,1.41,4.56,25.0
basel,reactive-pr,Reaktive PR Basel,,,,,,,
basel,authority-link-building,Linkaufbau Basel,,,,,,,
basel,authority-link-building,Backlinks Basel,,,,,,,
basel,authority-link-building,Link Building Basel,,,,,,,
basel,content-marketing,Content Marketing Basel,10,LOW,0,,,,9.2
basel,content-marketing,Content Agentur Basel,10,MEDIUM,40,6.86,,,11.7
basel,seo-copywriting,SEO Texte Basel,,,,,,,
basel,seo-copywriting,SEO Texter Basel,,,,,,,
basel,copywriting-audit,Text Audit Basel,,,,,,,
basel,copywriting-audit,Content Audit Basel,,,,,,,
basel,audience-persona-mapping,Zielgruppenanalyse Basel,,,,,,,
basel,audience-persona-mapping,Persona Analyse Basel,,,,,,,
basel,technical-web-design,Webdesign Basel,480,LOW,33,6.73,2.98,6.64,447.5
basel,technical-web-design,Webdesign Agentur Basel,210,LOW,6,,3.15,7.29,214.2
